企業番号	"生産品目"
20050250	高低圧受配電盤，分電盤，自動制御板他電気機器設計製作
19900677	貨物自動車運送・港湾運送・倉庫業
20060286	精密金型，ﾌﾟﾚｽ加工品製造
20060285	工業用ゴム製品製造
20070216	非破壊検査
19910780	美容・エステ
19850222	電気機械器具製造業
19960298	エクステリア，土木，造園工事，屋根工事
19901343	社寺建築設計施工
20060544	電気工事設計・施工
19850393	一般産業機械の設計製造
19850317	自動車用ブレ－キの製造・販売
19880536	鉄鋼業(製鉄機械の操作・保全業務)
19850084	自動車用電気機器の製造
19850127	プラスチック製品製造販売
19850210	自動車板金部品の（プレスから組立）製造，金型・治具設計製作ほか
19960426	住宅の新築・増改築工事
19850497	建築設備工事
20000040	土木，建築工事業
20070421	型枠工事、建築工事一式
19960304	建築見積・積算
20070422	土木・建築のコンクリ－ト躯体の型枠工事
19870065	総合建設業・建設資材の生産販売
19921279	電気設備工事業
20070349	機械器具製造業、プラント設備
20080239	電気工事業
20020221	高機能ポリマー応用製品の研究開発、製造
20000157	一般家庭用電化製品の販売
20050439	電気工事，情報通信設備等の設計施工点検
20070158	石油化学製品の製造
20050064	ステンレス鋼，高ニッケル合金鋼の製造
20080245	架空送電線路建設工事
19850359	書籍、定期刊行物、商業印刷、帳票類、ほか
20030137	レーザー加工各種機器・部品製造
20040124	溶接製缶加工，ﾄﾗｯｸ，農機，産業機械部品製造
19900518	建設業（電気工事業，電気通信工事業）
20070294	各種軸受製造
19921139	各種印刷
19850255	自動車機能部品，電子・情報通信機器用部品
20070131	情報システムへのトータルサポ－トサ－ビス
19880631	耐火物製造販売他
19850387	自動車部品・空調部品製造
19890306	設備工事
20070357	電力会社向送電線用鉄塔類製作加工
19850343	灯浮標・海洋機器等製造技術管理
20080259	建設業（発電所設備の建設とメンテナンス）
19880722	各種ガラス製造販売
20070194	航空機組立・機械設計・特殊コンテナ製作
20070329	油圧式小型運搬機械製造・販売
20080263	食料品、日用品、酒類等を販売する小売業
20070479	警備業、サービス業、労働者派遣業
20060212	クラッチ・トルクコンバータ等の製造販売
20070629	溶解アセチレン他工業用ガス、接着剤、塗料
20080267	電気機械器具製造
19850099	電気工事業
19901280	貨物鉄道事業，倉庫業，駐車場業等
20080270	プラントの設計・製作・据付・メンテナンス、産業用機械装置の製造・販売
19950778	自動車製造業・部品運搬作業
20080272	自転車小売業
19870327	設計・エンジニアリング業務
19930570	総合物流(港湾荷役・倉庫・重量物輸送他）
20080275	合成樹脂製簡易食品容器製造
19870445	牛乳，アイスクリーム販売
19950630	貨物自動車運送業等 
19960481	自動車整備業
19990195	石油製品販売・自動車販売買取・整備・洗車
20070332	電気通信設備総合工事業
19940940	ゴルフ場経営
20070306	回転寿司
20060228	外食産業
19921186	回転寿司の店舗展開
20030035	お好み焼き・鉄板焼きのお店　どんぐり　及び　ＤＯＮＧＵＲＩ　の経営
19911396	パン・和洋菓子製造販売
19960742	洋菓子製造
19850166	パン，菓子製造販売，ﾍﾞ-ｶﾘ-経営
20020184	理美容・フェイシャルエステ・メイク・着付
20020192	美容業
19900302	鉄筋ｺﾝｸﾘｰﾄ用棒鋼製造
19901555	生石灰・スラグ製品・ミニペレット
20030358	電気通信工事業
19850208	各種セキュリティサ－ビス，ｼｽﾃﾑの販売
19860634	大建工業（総合建材メ－カ－）製品製造
19860595	製鉄機械修理及びクレ－ン機器メンテナンス
20050511	土木建築測量設計，建築墨出し，施工管理
20060385	製缶・配管業
20080299	電気通信工事業・電気工事業
19910624	電力設備、一般産業設備建設・保修
19891069	給排水衛生消火・空調配管設備工事
19990347	麺製品の製造販売
19850237	自動車修理業
20060245	家庭製品・ＯＡ機器・ネットワーク・ブランド・カー用品関連製品の販売・修理。パソコン・システム・プログラムの営業・サポート
19850128	電力システム等開発製造販売等
19990255	電子部品の製造
20080307	グループホ－ムの運営
20080308	空調冷暖房給排水設備設計施工
20080309	空調設備工事の設計・施工
20080310	各種造船。艦艇の新造・修繕
19940942	精密機械加工・製造販売
19850145	輸送用機械器具・自動車部品製造業
